Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G3.1,1,"White oak trees grow to be 24 to 30 meters tall. Their long branches are covered with leaves, and their roots reach deep into the soil to hold the tree in place. White oaks drop their leaves during the winter months. In which ecosystem would forests of white oak trees be most likely to survive?","Table titled 'Characteristics of Four Ecosystems' with columns: Ecosystem (1-4), Temperature, Yearly Precipitation, Soil. Ecosystem 1: Long cold winters below 0°C, short cool summers; <25 cm rain; thin topsoil, frozen ground. Ecosystem 2: Warm year-round, very hot summer; <28 cm rain; sandy rocky soil. Ecosystem 3: Cold-to-moderate winters, warm summers; 76-152 cm rain; rich deep soil. Ecosystem 4: Warm and wet year-round; 200-1000 cm rain; drains quickly, thin humus.",MC,"A) Ecosystem 1, B) Ecosystem 2, C) Ecosystem 3, D) Ecosystem 4",C,3,,3,"Presents a real organism (white oak) with specific traits and asks students to match it to an appropriate ecosystem using data. Some genuine reasoning required — not immediately obvious without analyzing the table.",3,"Students must analyze and interpret data from the table to match organism traits to ecosystem characteristics. Engages the SEP in an expected but meaningful way.",3,"Requires applying understanding of organism-environment relationships and how traits relate to habitat conditions. Goes beyond simple recall to application.",2,"Implicitly engages Structure and Function (tree traits relate to ecosystem survival) and Cause and Effect (ecosystem conditions cause survival/failure), but students don't explicitly reason with a CCC.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Strengthen CCC engagement by asking students to explain WHY Ecosystem 3 is the best match — what cause-and-effect relationship between the oak's traits and ecosystem features supports survival?"
Alpha Standardized Science G3.1,2,"Many types of grazing animals live in Africa. The pictures show two of these animals that have about the same size and height at the shoulder. Based on observations of the pictures of these animals, which statement describes an advantage that only one of these animals has in obtaining food?","Side-by-side illustrations of a Thomson's gazelle (shorter neck, curved horns, compact body) and a gerenuk (notably long neck, small head, slender body, small curved horns). Both shown in profile at similar scale.",MC,"A) Thomson's gazelle can run faster to catch food because of its body shape, B) Thomson's gazelle can use its horns to move branches, C) Gerenuk has a sharp pointed nose for detecting scent of predators, D) Gerenuk has a long neck that helps it reach high to eat from trees",D,3,,3,"Presents two real organisms with observable physical differences and asks students to connect structural differences to functional advantages. Genuine scientific reasoning about how body structures relate to food-obtaining behavior.",3,"Engages 'Constructing Explanations' based on observation of visual evidence. Students must compare structures and infer function. Expected use of practice but requires reasoning beyond recall.",3,"Requires applying understanding of how physical traits (structure) provide advantages for survival. Students must reason about structure-function relationships, not just recall definitions.",3,"Directly engages Structure and Function — students must reason that the gerenuk's long neck (structure) provides an advantage in reaching food (function). CCC focuses student thinking meaningfully.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good question that engages structure-function reasoning. Could be elevated by asking a follow-up: 'How might both animals survive in the same habitat without competing for the same food?' which would add Cause and Effect and deeper ecological reasoning."
Alpha Standardized Science G3.1,3,"Some traits of living organisms are inherited, while some behaviors must be learned. Which statement related to inherited traits or acquired traits is not correct?",None,MC,"A) Number of teeth in a shark's mouth is an inherited trait only, B) Ability of lions to use camouflage to hide in grassy fields is an inherited trait only, C) Number and type of legs a cricket has is an inherited trait only, D) Behavior of a dog guiding a blind person on a walk is an inherited trait only",D,3,,1,"No phenomenon or scenario presented. Pure conceptual question asking students to identify which trait is NOT inherited. No uncertainty — straightforward classification task.",1,"No science practice engaged. Students are selecting a factual answer from recall — no data analysis, no argument construction, no investigation.",2,"Tests understanding of the distinction between inherited and learned traits. Grade-appropriate DCI but used at the recall/classification level, not for sense-making.",1,"No CCC engaged. No patterns, cause/effect, or systems thinking required.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,"Weak","No phenomenon present. Tests classification recall only. Redesign around a scenario: provide data about a litter of puppies showing both inherited traits (fur color) and learned behaviors (tricks), then ask students to sort and explain the evidence."
Alpha Standardized Science G3.1,4,"Which of the following is an example of climate, NOT weather?",None,MC,"A) A sudden thunderstorm hits the city on a hot July afternoon, B) The average snowfall in Minneapolis during December is 12 inches, C) Tomorrow's forecast predicts sunny skies with a high of 75°F, D) A cold front is expected to lower temperatures across the region next week",B,3,,1,"No phenomenon. Pure vocabulary/definition distinction between weather and climate. No uncertainty whatsoever.",1,"No science practice engaged. Simple recall of the definition difference between weather and climate.",2,"Tests understanding of the weather vs. climate distinction. Grade-appropriate but purely definitional recall.",1,"No CCC engaged. Patterns over time is implicitly relevant (climate = long-term pattern) but not required for answering.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure vocabulary recall. Redesign by providing a data table of monthly temperatures over several years for a city and asking students to identify which data represents climate vs. weather patterns, requiring actual data interpretation."
Alpha Standardized Science G3.1,5,"A group of students visited a park and collected leaves from many different trees in order to study them. They recorded their observations about the leaves. Which of these observations does NOT describe an inherited trait?",None,MC,"A) The leaves vary in shape and size, B) Some leaves have holes made by insects chewing on them, C) Some leaves are smooth on one side and rough on the other, D) The colors of the leaves range from light green to dark green",B,3,,2,"Provides a minimal scenario (students observing leaves) but the scenario is just context — the actual question is still about classifying inherited vs. acquired traits. Limited uncertainty.",1,"No meaningful practice engagement. Students classify observations, not analyze data or construct explanations.",2,"Tests inherited vs. acquired/environmental trait distinction. Same DCI as Q3, used at recall/classification level.",1,"No CCC engaged explicitly. Cause and Effect is implicitly present (insects cause holes) but not required as a reasoning tool.",1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Redundant with Q3 — tests the same construct (inherited vs. not inherited). Replace with a question that provides data about leaf variation across different environments and asks students to explain which variations are inherited vs. environmentally caused, engaging Cause and Effect."
Alpha Standardized Science G3.1,6,"Some animal species, such as Arctic foxes, have a thick fur coat and a thick layer of fat underneath it. The primary role of fur and fat is most likely to —",None,MC,"A) help them stay afloat in water, B) help them find and catch food, C) help them keep warm in the cold, D) help them defend themselves against predators",C,3,,2,"Provides a real organism (Arctic fox) with specific traits, but the answer is obvious and requires no real figuring out. Most students already know that fur keeps animals warm.",1,"No practice engaged. Simple recall of the function of fur and fat. No data, no analysis, no argument.",2,"Tests understanding of how traits help organisms survive in environments. Grade-appropriate but used at direct recall level.",1,"Implicitly engages Structure and Function and Cause and Effect, but in a trivial way that requires no explicit CCC reasoning.",1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Answer is too obvious — no real reasoning required. Improve by presenting data: 'Arctic foxes have two types of fur — a thin summer coat and a thick winter coat. Given data on average temperatures across seasons, explain why this change is an advantage.' This adds data interpretation and deeper cause-and-effect reasoning."
Alpha Standardized Science G3.1,7,"Students fill a cart with books. The cart has a handle on each end. Which actions will make moving the cart in one direction easiest for the students?","Illustration showing two students on opposite ends of a wheeled cart loaded with books. Student 1 is on the left, Student 2 is on the right. Arrows indicate 'Left' and 'Right' directions. Both students are gripping handles attached to the cart.",MC,"A) Student 1 pulls left while Student 2 pulls right, B) Student 1 pulls left while Student 2 pushes left, C) Student 1 pushes right while Student 2 pushes downward, D) Student 1 pushes right while Student 2 pulls upward",B,3,,3,"Presents a concrete scenario with a diagram. Students must reason about how combining forces in the same direction is more effective. Some genuine thinking required about force direction.",3,"Engages 'Planning and Carrying Out Investigations' implicitly and 'Constructing Explanations' — students must reason about force combinations and predict outcomes. Uses the practice in an expected way.",3,"Requires applying understanding of balanced/unbalanced forces and how combining forces in the same direction produces greater net force. Application, not just recall.",3,"Engages Cause and Effect — the combination of force directions (cause) determines ease of movement (effect). Students must reason about what happens when forces align vs. oppose.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Solid question. Could be strengthened by asking a follow-up about what happens to the cart when forces are applied in opposite directions (connecting to balanced forces concept) or asking students to predict which scenario would make the cart NOT move."
Alpha Standardized Science G3.1,8,"A scientist finds the plant fossil shown. Which question can the scientist most likely answer by examining this fossil?","Illustration of a fern-like plant fossil imprinted in rock. Shows detailed frond/leaf pattern preserved in stone.",MC,"A) What was the average monthly rainfall in the area? B) How many animals ate this plant? C) How much oxygen was in the atmosphere? D) What was the environment like when the plant was alive?",D,3,,3,"Presents a real scientific context (scientist examining a fossil) with genuine uncertainty about what can be inferred from evidence. Students must reason about the limits and possibilities of fossil evidence.",3,"Engages 'Analyzing and Interpreting Data' and 'Constructing Explanations' — students must reason about what a fossil can and cannot tell us. Requires understanding the nature of scientific evidence.",3,"Requires applying understanding of what fossils reveal about past environments. Goes beyond defining 'fossil' to reasoning about the informational value of fossil evidence.",2,"Implicitly engages Cause and Effect (past environment caused this plant to exist) and Patterns (fossil evidence reveals patterns about past life), but not explicitly required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good question that tests reasoning about scientific evidence. Could be elevated by providing multiple fossils from the same site and asking students to construct an explanation of what the environment was like, requiring them to synthesize evidence."
Alpha Standardized Science G3.1,9,"Two students, Rachel and Kobe, conduct an investigation of force and motion. They place a toy truck on a table. One student pushes the truck from the right and the other pushes from the left at the same time. What would most likely happen to the motion of the toy truck if Kobe used twice as much force as Rachel?","Diagram titled 'Experiment with Toy Truck' showing a toy truck on a table with Rachel's hand on the left pushing right (arrow labeled 'Push Right') and Kobe's hand on the right pushing left (arrow labeled 'Push Left').",MC,"A) The toy truck would move towards Kobe, B) The toy truck would move towards Rachel, C) The toy truck would stay still, D) The toy truck would move up",B,3,,3,"Presents an investigation scenario with a clear diagram. Students must predict outcomes when forces are unequal. Some authentic reasoning about unbalanced forces required.",3,"Engages 'Planning and Carrying Out Investigations' — students reason about an experimental outcome. Must predict based on understanding of force relationships, not just recall.",3,"Requires applying understanding of unbalanced forces — if one force is greater, the object moves in that direction. Application in a specific context.",3,"Directly engages Cause and Effect — unequal forces (cause) result in motion toward the stronger force (effect). Students must reason through the causal chain.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Strong question similar to the tug-of-war example. Diagnostic distractors (A reveals confusion about force direction, C reveals balanced force misconception, D is weak/absurd). Replace D with a plausible distractor like 'The truck would spin in a circle' to improve diagnostic value."
Alpha Standardized Science G3.1,10,"Unlike humans, otters have special flaps that close off their nostrils and ears. These flaps help otters survive in an environment that is —",None,MC,"A) dry, B) snowy, C) windy, D) aquatic",D,3,,2,"Presents a real organism with a specific trait but the answer is obvious. Most students know otters live in water. No real uncertainty or puzzling phenomenon.",1,"No practice engaged. Simple recall connecting a trait to an environment. No data, no analysis, no investigation.",2,"Tests understanding of how traits help organisms survive in specific environments. Grade-appropriate but trivially applied.",1,"Implicitly engages Structure and Function (flaps help in aquatic environments) but requires no explicit CCC reasoning.",1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Too obvious — most students know otters are aquatic without needing to reason about the flaps. Improve by presenting an unknown animal with described traits and asking students to determine which environment it likely lives in and explain WHY those traits help, requiring actual structure-function reasoning."
