Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G7.16,1,"temperature and amount of water. Tank A received constant bubbling of carbon dioxide, while Tank B had limited carbon dioxide supply. After a week, the plants in Tank B showed significantly less growth compared to Tank A, even though both tanks received the same amount of sunlight. Which explanation best describes why the plants in Tank B couldn't grow as well?",None,MC,"A) The plants in Tank B couldn't effectively carry out photosynthesis because carbon dioxide is necessary to combine with water to form glucose, B) The plants in Tank B couldn't transport water throughout their tissues because carbon dioxide is needed for water movement, C) The plants in Tank B couldn't absorb minerals from the water because carbon dioxide is required for mineral absorption, D) The plants in Tank B couldn't maintain their cell walls because carbon dioxide is needed for cell wall formation Read the following scenarios about energy transfer in a desert ecosystem and determine which process is essential for",A,7,,3,Real-world context with meaningful setup. Requires some application.,2,Some practice engagement but at surface level.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.5,Low Guided Integration,Partially Meets,Meets,Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G7.16,2,formation Read the following scenarios about energy transfer in a desert ecosystem and determine which process is essential for sustaining the food web. During a hot summer day: Cactus plants stand tall in the sandy soil Desert mice feed on cactus fruits and seeds Hawks soar overhead looking for mice to eat Bacteria in the soil break down dead plants and animals At night: The temperature drops significantly The cactus plants close their pores to prevent water loss The mice become more active in the cooler temperature The hawks rest in their nests Which process occurring in this ecosystem is primarily responsible for converting the sun's energy into a form that can be used by other organisms?,None,MC,"A) The hawks hunting mice during daytime, B) The cactus carrying out photosynthesis, C) The mice feeding on cactus parts, D) The bacteria decomposing dead matter During cellular respiration in animal cells, glucose molecules from food are broken down to release energy. Which",B,7,,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G7.16,3,"During cellular respiration in animal cells, glucose molecules from food are broken down to release energy. Which statement best explains what happens to the matter and energy during this process?",None,MC,"A) The glucose molecules react with oxygen, rearranging the same atoms into new arrangements of carbon dioxide and water, while releasing energy that the cell can use, B) The glucose molecules break down into carbon dioxide and water by creating new atoms, which produces energy for the cell, C) The glucose molecules turn directly into energy when reacting with oxygen, leaving fewer atoms in the carbon dioxide and water molecules than were present in the glucose, D) The glucose molecules combine with oxygen to form carbon dioxide and water by joining into larger molecules first, storing energy in stronger bonds In a grassland ecosystem, a severe drought has caused a significant reduction in grass growth. Rabbits in this",A,7,,3,Real-world context with meaningful setup. Requires some application.,3,Requires constructing explanations or engaging in argumentation.,3,Grade-appropriate DCI used for reasoning in context.,2,Energy/matter concepts implicitly present.,2.75,High Guided Integration,Meets,Meets,Meets,Meets,Needs Improvement,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G7.16,4,"molecules first, storing energy in stronger bonds In a grassland ecosystem, a severe drought has caused a significant reduction in grass growth. Rabbits in this grassland exclusively feed on grass, while foxes hunt both rabbits and voles. Voles feed mainly on grass but can also survive by eating tree bark and roots. Which of the following statements is correct about the immediate effects of the drought?",None,MC,"A) The vole population would increase because they can utilize alternative food sources that become more abundant during drought, B) The rabbit population would increase because there would be less competition from voles for the remaining grass, C) The fox population would increase because the drought would make prey easier to capture, D) The rabbit population would decrease because grass is their only food resource In a Shenandoah National Park forest ecosystem, small rodents feed on berries that plants produce using sunlight.",D,7,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.0,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.16,5,"In a Shenandoah National Park forest ecosystem, small rodents feed on berries that plants produce using sunlight. Foxes eat these small rodents. Hawks eat foxes and occasionally rodents as well. Which statement best describes the flow of matter and feeding relationships in this ecosystem?",None,MC,"A) forest ecosystem has been experiencing increased human activity nearby, including the burning of fossil fuels., B) Foxes are both primary consumers and omnivores in this food web, C) Hawks are tertiary consumers that obtain matter originally captured by plants, D) Plants have the most feeding relationships with other organisms in this food web",C,7,,3,Real-world context with meaningful setup. Requires some application.,1,No science practice engaged. Recall/identification only.,2,DCI present but used at surface level — identification rather than reasoning.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Meets,Partially Meets,Meets,Needs Improvement,"Require students to engage in a science practice (analyze data, construct explanation, argue from evidence). Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G7.16,6,Scientists have observed changes in carbon dioxide levels in the area. Which of the following best explains how these human activities would affect the carbon cycle in this ecosystem?,None,MC,"A) researcher studying grassland ecosystems notices that wherever large herds of wildebeest graze, there is always a, B) The amount of carbon in the ecosystem would increase because burning fossil fuels creates new carbon rather than releasing stored carbon, C) Ocean absorption would immediately balance out all additional carbon dioxide released from burning fossil fuels, resulting in no net change, D) The carbon cycle would slow down because higher carbon dioxide levels prevent trees from performing photosynthesis effectively",,7,,2,Some context provided but limited scenario complexity.,3,Requires constructing explanations or engaging in argumentation.,2,Some content engagement in answer choices but limited reasoning with DCI.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.5,Low Guided Integration,Partially Meets,Partially Meets,Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Push beyond recall — require students to reason with science ideas, not just identify them."
Alpha Standardized Science G7.16,7,"high concentration of cattle egrets (white birds) walking among them. However, these birds are rarely seen in areas without the wildebeest herds. What is the most reasonable explanation for this consistent pattern of interaction between the wildebeest and cattle egrets?",None,MC,"A) coral reef area is being threatened by the overgrowth of an invasive seaweed species that is outcompeting the, B) The wildebeest protect the cattle egrets from predators, and in exchange, the birds warn them of approaching danger., C) The cattle egrets feed on insects that are disturbed when wildebeest move through the grass, while the wildebeest are unaffected by the birds' presence., D) The cattle egrets and wildebeest accidentally gather in the same areas because they both prefer to feed in short grass.",C,7,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,3,Requires understanding relationships between science concepts.,3,Multiple CCCs implicitly engaged through the reasoning required.,2.25,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.16,8,native coral polyps. Environmental scientists have proposed implementing a tourism management plan to protect the reef. Which sequence best describes how this management solution would help maintain the reef's biodiversity?,None,MC,"A) geologist studied an inland area that was once completely submerged under an ancient sea. Their research revealed, B) The tourism management prevents anchor damage → Native coral polyps get more space to grow → More native reef fish and invertebrates return → The reef food web becomes more diverse, C) The tourism boats trample all corals → The reef becomes silty → New coral species arrive → Some wildlife returns to the area, D) The tourism management fertilizes the water → All seaweeds grow faster → Native fish get more hiding sites → The invasive species is controlled",B,7,,2,Some context provided but limited scenario complexity.,1,No science practice engaged. Recall/identification only.,2,Some content engagement in answer choices but limited reasoning with DCI.,2,Pattern recognition implicitly involved but not explicitly required.,1.75,Low Guided Integration,Does Not Meet,Partially Meets,Partially Meets,Meets,Weak,"Add a real-world phenomenon or puzzling scenario that students need to figure out. Require students to engage in a science practice (analyze data, construct explanation, argue from evidence)."
Alpha Standardized Science G7.16,9,"the following sequence of events that occurred over millions of years: First, the area was a deep sea where microscopic marine organisms with calcium-rich shells lived and died. Later, the sea became shallower and rivers brought plant material and organic matter into the area. Eventually, the water became very shallow and muddy with fine clay particles. Which sequence of rock layers would most likely be found in this area from oldest (bottom) to youngest (top)?",None,MC,"A) geologist studying a mountain range discovered layers of limestone (a sedimentary rock made mostly of calcium, B) Shale - Coal - Limestone, C) Limestone - Coal - Shale, D) Coal - Limestone - Shale",C,7,,3,Real-world context with meaningful setup. Requires some application.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
Alpha Standardized Science G7.16,10,carbonate) deep within the mountain. These limestone layers showed signs of being exposed to intense pressure and heat from surrounding rock layers over millions of years. Which process will MOST LIKELY occur to these limestone layers over time?,None,MC,"A) The limestone would convert into a different type of rock with a more crystalline structure while maintaining its chemical composition, B) The limestone would dissolve completely and create underground caves within the mountain, C) The limestone would break apart into loose calcium and carbonate particles that would scatter throughout the rock layers, D) The limestone would remain chemically unchanged but become thinner due to the pressure The diagram below represents a cross-section of a portion of Earth's interior. The arrows in the diagram represent a heat-transfer process that moves tectonic plates across Earth's surface. Cross-section of Earth's Interior Which Earth layer contains convection currents that are believed to be responsible for the movement of Earth's",A,7,,3,Real-world context with meaningful setup. Requires some application.,3,Requires prediction based on understanding — applies practice in context.,3,Grade-appropriate DCI used for reasoning in context.,3,Multiple CCCs implicitly engaged through the reasoning required.,3.0,High Guided Integration,Meets,Meets,Meets,Meets,Strong,Good question. Consider adding more complexity through novel data or multi-step reasoning.
